"Title","Author","ISBN","Link","Image","Curated"
"The Promises and Perils of AI in Education: Ethics and Equity Have Entered The Chat","Dee Lanier and Ken Shelton","9798990840508","https://bookshop.org/p/books/the-promises-and-perils-of-ai-in-education-ethics-and-equity-have-entered-the-chat-ken-shelton/22161072?ean=9798990840508","https://images-us.bookshop.org/ingram/9798990840508.jpg?height=500&v=v2-4266c395fc4cd7a5227723ba63ac581d","false"
"Custodians of the Internet: Platforms, Content Moderation, and the Hidden Decisions That Shape Social Media","Tarleton Gillespie","9780300261431","https://bookshop.org/p/books/custodians-of-the-internet-platforms-content-moderation-and-the-hidden-decisions-that-shape-social-media-tarleton-gillespie/ebca8ee6033c0f53?ean=9780300261431","https://images-us.bookshop.org/ingram/9780300261431.jpg?height=500&v=v2","true"
"Enshittification: Why Everything Suddenly Got Worse and What to Do About It","Cory Doctorow","9780374619329","https://bookshop.org/p/books/enshittification-why-everything-suddenly-got-worse-and-what-to-do-about-it-cory-doctorow/d3f8483b158906ce?ean=9780374619329","https://images-us.bookshop.org/ingram/9780374619329.jpg?height=500&v=v2","false"
"Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy","Cathy O'Neil","9780553418835","https://bookshop.org/p/books/weapons-of-math-destruction-how-big-data-increases-inequality-and-threatens-democracy-cathy-o-neil/ffc2bb128e435cfd?ean=9780553418835","https://images-us.bookshop.org/ingram/9780553418835.jpg?height=500","true"
"The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power","Shoshana Zuboff","9781541758001","https://bookshop.org/p/books/the-age-of-surveillance-capitalism-the-fight-for-a-human-future-at-the-new-frontier-of-power-shoshana-zuboff/7889d7dd8f793aeb?ean=9781541758001","https://images-us.bookshop.org/ingram/9781541758001.jpg?height=500","true"
"Race After Technology: Abolitionist Tools for the New Jim Code","Ruha Benjamin","9781509526406","https://bookshop.org/p/books/race-after-technology-abolitionist-tools-for-the-new-jim-code-ruha-benjamin/02977b73851a0b67?ean=9781509526406","https://images-us.bookshop.org/ingram/9781509526406.jpg?height=500","true"
"Automating Inequality: How High-Tech Tools Profile, Police, and Punish the Poor","Virginia Eubanks","9781250215789","https://bookshop.org/p/books/automating-inequality-how-high-tech-tools-profile-police-and-punish-the-poor-virginia-eubanks/df3bdb7ddf18f167?ean=9781250215789","https://images-us.bookshop.org/ingram/9781250215789.jpg?height=500","true"
"Artificial Unintelligence: How Computers Misunderstand the World","Meredith Broussard","9780262537018","https://bookshop.org/p/books/artificial-unintelligence-how-computers-misunderstand-the-world-meredith-broussard/0df211dbaf6c2918?ean=9780262537018","https://images-us.bookshop.org/ingram/9780262537018.jpg?height=500","true"
"Design Justice: Community-Led Practices to Build the Worlds We Need","Sasha Costanza-Chock","9780262043458","https://bookshop.org/p/books/design-justice-community-led-practices-to-build-the-worlds-we-need-sasha-costanza-chock/419ded55094591f4?ean=9780262043458","https://images-us.bookshop.org/ingram/9780262043458.jpg?height=500","true"
"Ghost Work: How to Stop Silicon Valley from Building a New Global Underclass","Mary L. Gray and Siddharth Suri","9781665127059","https://bookshop.org/p/books/ghost-work-how-to-stop-silicon-valley-from-building-a-new-global-underclass-mary-l-gray/7eadba749745ebef?ean=9781665127059","https://images-us.bookshop.org/ingram/9781665127059.jpg?height=500","true"
"Twitter and Tear Gas: The Power and Fragility of Networked Protest","Zeynep Tufekci","9780300234176","https://bookshop.org/p/books/twitter-and-tear-gas-the-power-and-fragility-of-networked-protest-zeynep-tufekci/5d4fbbb6d9272be4?ean=9780300234176","https://images-us.bookshop.org/ingram/9780300234176.jpg?height=500","true"
"Technopoly: The Surrender of Culture to Technology","Neil Postman","9780679745402","https://bookshop.org/p/books/technopoly-the-surrender-of-culture-to-technology-neil-postman/411fadc13061d77a?ean=9780679745402","https://images-us.bookshop.org/ingram/9780679745402.jpg?height=500","true"
"Do Androids Dream of Electric Sheep?","Philip K. Dick","9780345404473","https://bookshop.org/p/books/do-androids-dream-of-electric-sheep-the-inspiration-for-the-films-blade-runner-and-blade-runner-2049-philip-k-dick/718ef0ab48ecf273?ean=9780345404473","https://images-us.bookshop.org/ingram/9780345404473.jpg?height=500","true"
"Exhalation: Stories","Ted Chiang","9781101972083","https://bookshop.org/p/books/exhalation-stories-ted-chiang/d563593d55c2670f?ean=9781101972083","https://images-us.bookshop.org/ingram/9781101972083.jpg?height=500","true"
"Little Brother","Cory Doctorow","9780765323118","https://bookshop.org/p/books/little-brother-cory-doctorow/3ddcdf6e667f5b6d?ean=9780765323118","https://images-us.bookshop.org/ingram/9780765323118.jpg?height=500","false"
"Frankenstein: The 1818 Text","Mary Shelley","9780143131847","https://bookshop.org/p/books/frankenstein-the-1818-text-mary-shelley/4bf26b6b69b17441?ean=9780143131847","https://images-us.bookshop.org/ingram/9780143131847.jpg?height=500","true"
"Parable of the Sower","Octavia E. Butler","9781538732182","https://bookshop.org/p/books/parable-of-the-sower-a-novel-octavia-e-butler/251d041cc94c99c2?ean=9781538732182","https://images-us.bookshop.org/ingram/9781538732182.jpg?height=500","true"
"Autonomous: A Novel","Annalee Newitz","9780765392084","https://bookshop.org/p/books/autonomous-a-novel-annalee-newitz/2aef20994294838a?ean=9780765392084","https://images-us.bookshop.org/ingram/9780765392084.jpg?height=500","true"
"Severance: A Novel","Ling Ma","9781250214997","https://bookshop.org/p/books/severance-a-novel-ling-ma/c738b1415221c430?ean=9781250214997","https://images-us.bookshop.org/ingram/9781250214997.jpg?height=500","true"
"Wool: Book One of the Silo Series","Hugh Howey","9780358447849","https://bookshop.org/p/books/wool-book-one-of-the-silo-series-hugh-howey/51ab742c4dadfcbd?ean=9780358447849","https://images-us.bookshop.org/ingram/9780358447849.jpg?height=500","true"
"The Three-Body Problem","Cixin Liu","9780765382030","https://bookshop.org/p/books/the-three-body-problem-cixin-liu/55470a297b196134?ean=9780765382030","https://images-us.bookshop.org/ingram/9780765382030.jpg?height=500","true"
"Project Hail Mary: A Novel","Andy Weir","9780593135228","https://bookshop.org/p/books/project-hail-mary-a-novel-andy-weir/00f52c9d7f2ed7f2?ean=9780593135228","https://images-us.bookshop.org/ingram/9780593135228.jpg?height=500","false"
